,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
CASEID,1998.0,203846.09259259258,2361.993629711007,200100.0,201823.25,203748.0,206052.75,207722.0,0,1998
AGE,1998.0,44.28428428428428,12.206751018141215,15.0,35.0,44.0,53.0,80.0,0,60
RYGB,746.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1252,1
Sleeve,1223.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,775,1
Band,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1990,1
BPD/DS,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1996,1
SADI-S,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1979,1
SEX_b'Male',1998.0,0.22122122122122123,0.4151730519973175,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'American Indian or Alaska Native',1998.0,0.0065065065065065065,0.08042020157236061,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Asian',1998.0,0.006006006006006006,0.07728469026260923,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Black or African American',1998.0,0.1976976976976977,0.3983625783384219,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Native Hawaiian or Other Pacific Islander',1998.0,0.001001001001001001,0.03163067733422621,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Unknown/Not Reported',1998.0,0.06656656656656657,0.2493322545983531,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'White',1998.0,0.7222222222222222,0.44801533822134826,0.0,0.0,1.0,1.0,1.0,0,2
CPTUNLISTED_REVCONV_1.0,1998.0,0.07657657657657657,0.2659849881342198,0.0,0.0,0.0,0.0,1.0,0,2
CPTUNLISTED_GASPLICATION_1.0,1998.0,0.001001001001001001,0.03163067733422621,0.0,0.0,0.0,0.0,1.0,0,2
GERD_b'Yes',1998.0,0.3163163163163163,0.4651543796842648,0.0,0.0,0.0,1.0,1.0,0,2
MOBILITY_DEVICE_b'Yes',1998.0,0.026526526526526525,0.1607351882699283,0.0,0.0,0.0,0.0,1.0,0,2
MI_ALL_HISTORY_b'Yes',1998.0,0.015515515515515516,0.12362213862916456,0.0,0.0,0.0,0.0,1.0,0,2
PTC_b'Yes',1998.0,0.02002002002002002,0.14010368719040237,0.0,0.0,0.0,0.0,1.0,0,2
PCARD_b'Yes',1998.0,0.01001001001001001,0.09957294842469454,0.0,0.0,0.0,0.0,1.0,0,2
HIP_b'Yes',1998.0,0.46146146146146144,0.49863736833887823,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'0',1998.0,0.0075075075075075074,0.0863416238421843,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'1',1998.0,0.19519519519519518,0.39645011789745793,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'2',1998.0,0.16366366366366367,0.37006271172181254,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'3+',1998.0,0.6336336336336337,0.4819318389107985,0.0,0.0,1.0,1.0,1.0,0,2
HYPERLIPIDEMIA_b'Yes',1998.0,0.25475475475475473,0.4358323527165309,0.0,0.0,0.0,1.0,1.0,0,2
HISTORY_DVT_b'Yes',1998.0,0.02702702702702703,0.16220275852333443,0.0,0.0,0.0,0.0,1.0,0,2
VENOUS_STASIS_b'Yes',1998.0,0.00950950950950951,0.09707623474717536,0.0,0.0,0.0,0.0,1.0,0,2
DIALYSIS_b'Yes',1998.0,0.0065065065065065065,0.08042020157236061,0.0,0.0,0.0,0.0,1.0,0,2
RENAL_INSUFFICIENCY_b'Yes',1998.0,0.011011011011011011,0.10438017872875123,0.0,0.0,0.0,0.0,1.0,0,2
THERAPEUTIC_ANTICOAGULATION_b'Yes',1998.0,0.03203203203203203,0.17612923447238596,0.0,0.0,0.0,0.0,1.0,0,2
PREVIOUS_SURGERY_b'Yes',1998.0,0.08108108108108109,0.2730279267870613,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'Insulin',1998.0,0.1086086086086086,0.3112254132501796,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'No',1998.0,0.7312312312312312,0.4434304132360112,0.0,0.0,1.0,1.0,1.0,0,2
DIABETES_b'Non-Insulin',1998.0,0.16016016016016016,0.3668463421276994,0.0,0.0,0.0,0.0,1.0,0,2
SMOKER_b'Yes',1998.0,0.08258258258258258,0.27531915642355437,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Independent',1998.0,0.991991991991992,0.08915075839565087,0.0,1.0,1.0,1.0,1.0,0,2
FUNSTATPRESURG_b'Partially Dependent',1998.0,0.008008008008008008,0.08915075839565087,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Totally Dependent',1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
COPD_b'Yes',1998.0,0.02002002002002002,0.14010368719040237,0.0,0.0,0.0,0.0,1.0,0,2
OXYGEN_DEPENDENT_b'Yes',1998.0,0.025025025025025027,0.15624017044494468,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_PE_b'Yes',1998.0,0.01701701701701702,0.12936697581824833,0.0,0.0,0.0,0.0,1.0,0,2
SLEEP_APNEA_b'Yes',1998.0,0.4084084084084084,0.4916624526241046,0.0,0.0,0.0,1.0,1.0,0,2
CHRONIC_STEROIDS_b'Yes',1998.0,0.02952952952952953,0.169327749376593,0.0,0.0,0.0,0.0,1.0,0,2
IVC_FILTER_b'Yes',1998.0,0.007007007007007007,0.08343496293827737,0.0,0.0,0.0,0.0,1.0,0,2
SWALLOW_STUDY_b'No',1998.0,0.6901901901901902,0.46253082709467397,0.0,0.0,1.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, routine'",1998.0,0.30180180180180183,0.45915464850486065,0.0,0.0,0.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, selective'",1998.0,0.008008008008008008,0.08915075839565087,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'1-No Disturb',1998.0,0.0025025025025025025,0.04997489348374653,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'2-Mild Disturb',1998.0,0.2697697697697698,0.4439512203791778,0.0,0.0,0.0,1.0,1.0,0,2
ASACLASS_b'3-Severe Disturb',1998.0,0.6441441441441441,0.47889168829383394,0.0,0.0,1.0,1.0,1.0,0,2
ASACLASS_b'4-Life Threat',1998.0,0.08358358358358359,0.276831581213753,0.0,0.0,0.0,0.0,1.0,0,2
