,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
CASEID,729482.0,838223.0321269064,328887.1473875934,200100.0,573517.25,866318.5,1112404.5,1391006.0,0,729482
AGE,729482.0,44.33934442522228,11.961502026715449,10.0,35.33,44.0,53.0,80.0,0,6427
RYGB,198100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,531382,1
Sleeve,495917.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,233565,1
Band,10006.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,719476,1
BPD/DS,9275.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,720207,1
SADI-S,16184.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,713298,1
SEX_b'Male',729482.0,0.20221335139180954,0.40165076006213823,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'American Indian or Alaska Native',729482.0,0.004245478298299341,0.06501892038069605,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Asian',729482.0,0.004630683142284525,0.06789142975692716,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Black or African American',729482.0,0.1889697072717353,0.3914848235885515,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Native Hawaiian or Other Pacific Islander',729482.0,0.0028321466465245203,0.053142539112416454,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Unknown/Not Reported',729482.0,0.08278065805599041,0.27555058481664485,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'White',729482.0,0.7165413265851659,0.45067741491155927,0.0,0.0,1.0,1.0,1.0,0,2
CPTUNLISTED_REVCONV_1.0,729482.0,0.07683397259973515,0.26632801296238906,0.0,0.0,0.0,0.0,1.0,0,2
CPTUNLISTED_GASPLICATION_1.0,729482.0,0.0005867176983119529,0.024215166001438873,0.0,0.0,0.0,0.0,1.0,0,2
GERD_b'Yes',729482.0,0.3060253714279448,0.46084068244935567,0.0,0.0,0.0,1.0,1.0,0,2
MOBILITY_DEVICE_b'Yes',729482.0,0.016126511689116385,0.12596217313217525,0.0,0.0,0.0,0.0,1.0,0,2
MI_ALL_HISTORY_b'Yes',729482.0,0.012227854833978083,0.10990155120639775,0.0,0.0,0.0,0.0,1.0,0,2
PTC_b'Yes',729482.0,0.01846241579641444,0.13461641742775698,0.0,0.0,0.0,0.0,1.0,0,2
PCARD_b'Yes',729482.0,0.010347068193594907,0.10119298597619301,0.0,0.0,0.0,0.0,1.0,0,2
HIP_b'Yes',729482.0,0.47233653469174014,0.4992344883393848,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'0',729482.0,0.44009584883520086,0.4963988622704223,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'1',729482.0,0.20857814174989925,0.40629241541376215,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'2',729482.0,0.16076476184470626,0.36731408650687986,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'3+',729482.0,0.19056124757019363,0.3927440259802541,0.0,0.0,0.0,0.0,1.0,0,2
HYPERLIPIDEMIA_b'Yes',729482.0,0.22583970543481538,0.4181343953274832,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_DVT_b'Yes',729482.0,0.017742727030961695,0.13201494824192653,0.0,0.0,0.0,0.0,1.0,0,2
VENOUS_STASIS_b'Yes',729482.0,0.010360776551032102,0.10125929545518512,0.0,0.0,0.0,0.0,1.0,0,2
DIALYSIS_b'Yes',729482.0,0.0030857512591126305,0.05546380455117113,0.0,0.0,0.0,0.0,1.0,0,2
RENAL_INSUFFICIENCY_b'Yes',729482.0,0.006229077619461481,0.07867836231986358,0.0,0.0,0.0,0.0,1.0,0,2
THERAPEUTIC_ANTICOAGULATION_b'Yes',729482.0,0.02889447580611996,0.16751006996340373,0.0,0.0,0.0,0.0,1.0,0,2
PREVIOUS_SURGERY_b'Yes',729482.0,0.08032686207473248,0.27179874645377755,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'Insulin',729482.0,0.07891353042295766,0.2696039405871135,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'No',729482.0,0.7502762234023594,0.432853403408213,0.0,1.0,1.0,1.0,1.0,0,2
DIABETES_b'Non-Insulin',729482.0,0.17081024617468285,0.37634332747344984,0.0,0.0,0.0,0.0,1.0,0,2
SMOKER_b'Yes',729482.0,0.08461483628108712,0.27830787258118894,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Independent',729482.0,0.9904740624168931,0.09713499385076788,0.0,1.0,1.0,1.0,1.0,0,2
FUNSTATPRESURG_b'Partially Dependent',729482.0,0.006419623787838493,0.07986501713534253,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Totally Dependent',729482.0,0.0031063137952684235,0.05564772102160253,0.0,0.0,0.0,0.0,1.0,0,2
COPD_b'Yes',729482.0,0.016547358262438278,0.1275678858700656,0.0,0.0,0.0,0.0,1.0,0,2
OXYGEN_DEPENDENT_b'Yes',729482.0,0.007287362813612947,0.08505449473030569,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_PE_b'Yes',729482.0,0.012979072821536378,0.11318407154500448,0.0,0.0,0.0,0.0,1.0,0,2
SLEEP_APNEA_b'Yes',729482.0,0.38194362575087526,0.48586316602801943,0.0,0.0,0.0,1.0,1.0,0,2
CHRONIC_STEROIDS_b'Yes',729482.0,0.018056648416273465,0.13315641242548615,0.0,0.0,0.0,0.0,1.0,0,2
IVC_FILTER_b'Yes',729482.0,0.00642921963804453,0.07992429874351786,0.0,0.0,0.0,0.0,1.0,0,2
SWALLOW_STUDY_b'No',729482.0,0.6876304007501213,0.46345995205970797,0.0,0.0,1.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, routine'",729482.0,0.3000169983632221,0.4582653019175309,0.0,0.0,0.0,1.0,1.0,0,2
"SWALLOW_STUDY_b'Yes, selective'",729482.0,0.012352600886656559,0.11045374987853472,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'1-No Disturb',729482.0,0.0031885639398915944,0.05637731243114562,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'2-Mild Disturb',729482.0,0.20141415415322106,0.40105699489522334,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'3-Severe Disturb',729482.0,0.7569864643678665,0.42890349649797904,0.0,1.0,1.0,1.0,1.0,0,2
ASACLASS_b'4-Life Threat',729482.0,0.03832856739439767,0.1919883820554362,0.0,0.0,0.0,0.0,1.0,0,2
ASACLASS_b'5-Moribund',729482.0,8.225014462317096e-05,0.009068819784249735,0.0,0.0,0.0,0.0,1.0,0,2
REOP30_b'Yes',729482.0,0.012477346939335035,0.11100306141584286,0.0,0.0,0.0,0.0,1.0,0,2
READ30_b'Yes',729482.0,0.03811745868986486,0.1914799422759263,0.0,0.0,0.0,0.0,1.0,0,2
INTV30_b'Yes',729482.0,0.012769334952747293,0.11227776413330214,0.0,0.0,0.0,0.0,1.0,0,2
DEATH_1.0,729482.0,0.00015764611052774435,0.012554739117350494,0.0,0.0,0.0,0.0,1.0,0,2
BMI,729482.0,46.3553943071933,7.410976325871167,35.0,40.95,44.62,49.96,126.06,0,5526
BMI_DISCH,729482.0,43.909720609967074,6.983554730564027,35.0,38.7,42.25,47.37,99.56,0,4801
