,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
CASEID,198100.0,827436.3151337708,335753.51521130855,200100.0,544901.75,854754.5,1110457.5,1391003.0,0,729482
AGE,198100.0,0.06599665431498372,0.9849897428997604,-2.6016269265756504,-0.6779541537011059,0.051887797937085395,0.7967780372379192,2.9729276364523654,0,6427
RYGB,198100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,531382,1
Sleeve,0.0,,,,,,,,233565,1
Band,0.0,,,,,,,,719476,1
BPD/DS,0.0,,,,,,,,720207,1
SADI-S,0.0,,,,,,,,713298,1
SEX_b'Male',198100.0,0.18771327612317013,0.39048402245375263,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'American Indian or Alaska Native',198100.0,0.005179202423018677,0.07178025003023902,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Asian',198100.0,0.004775365976779404,0.06893900091690193,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Black or African American',198100.0,0.151660777385159,0.35869267550444534,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Native Hawaiian or Other Pacific Islander',198100.0,0.00419989904088844,0.06467055744995888,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Unknown/Not Reported',198100.0,0.08759717314487632,0.28270888181372733,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'White',198100.0,0.7465875820292781,0.434966112977914,0.0,0.0,1.0,1.0,1.0,0,2
CPTUNLISTED_REVCONV_1.0,198100.0,0.10303886925795053,0.304010406440306,0.0,0.0,0.0,0.0,1.0,0,2
CPTUNLISTED_GASPLICATION_1.0,198100.0,0.00021201413427561838,0.014559198271135096,0.0,0.0,0.0,0.0,1.0,0,2
GERD_b'Yes',198100.0,0.39307925290257445,0.4884354185836931,0.0,0.0,0.0,1.0,1.0,0,2
MOBILITY_DEVICE_b'Yes',198100.0,0.018652195860676426,0.1352936947898529,0.0,0.0,0.0,0.0,1.0,0,2
MI_ALL_HISTORY_b'Yes',198100.0,0.014316002019182232,0.11879025775594931,0.0,0.0,0.0,0.0,1.0,0,2
PTC_b'Yes',198100.0,0.021267036850075718,0.14427354250201066,0.0,0.0,0.0,0.0,1.0,0,2
PCARD_b'Yes',198100.0,0.010146390711761736,0.10021722489837145,0.0,0.0,0.0,0.0,1.0,0,2
HIP_b'Yes',198100.0,0.511100454316002,0.4998780264095285,0.0,0.0,1.0,1.0,1.0,0,2
HTN_MEDS_b'0',198100.0,0.4002574457344775,0.48995166561981496,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'1',198100.0,0.21937405350832911,0.4138235645996524,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'2',198100.0,0.1747198384654215,0.3797282507203933,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'3+',198100.0,0.20564866229177184,0.40417584615271374,0.0,0.0,0.0,0.0,1.0,0,2
HYPERLIPIDEMIA_b'Yes',198100.0,0.270015143866734,0.44396842336103964,0.0,0.0,0.0,1.0,1.0,0,2
HISTORY_DVT_b'Yes',198100.0,0.020020191822311965,0.14006956407430615,0.0,0.0,0.0,0.0,1.0,0,2
VENOUS_STASIS_b'Yes',198100.0,0.012791519434628975,0.11237419726335682,0.0,0.0,0.0,0.0,1.0,0,2
DIALYSIS_b'Yes',198100.0,0.0018475517415446744,0.04294353971530355,0.0,0.0,0.0,0.0,1.0,0,2
RENAL_INSUFFICIENCY_b'Yes',198100.0,0.006183745583038869,0.07839348120860525,0.0,0.0,0.0,0.0,1.0,0,2
THERAPEUTIC_ANTICOAGULATION_b'Yes',198100.0,0.030171630489651692,0.17105978754124287,0.0,0.0,0.0,0.0,1.0,0,2
