,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
CASEID,495917.0,843218.6210999019,326351.22005162726,200112.0,587230.0,872301.0,1113905.0,1391006.0,0,729482
AGE,495917.0,-0.03467773685135203,1.0061877186692008,-2.87082407254071,-0.7858002152833815,-0.08271077504544462,0.6889319756556436,2.9812877962649447,0,6427
RYGB,0.0,,,,,,,,531382,1
Sleeve,495917.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,233565,1
Band,0.0,,,,,,,,719476,1
BPD/DS,0.0,,,,,,,,720207,1
SADI-S,0.0,,,,,,,,713298,1
SEX_b'Male',495917.0,0.2071596658311774,0.4052713533891905,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'American Indian or Alaska Native',495917.0,0.0038353192167237663,0.061811141773543826,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Asian',495917.0,0.004631823470459775,0.06789977156393244,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Black or African American',495917.0,0.20370949170929814,0.40275583396442083,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Native Hawaiian or Other Pacific Islander',495917.0,0.002312887035532156,0.048036884184400545,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Unknown/Not Reported',495917.0,0.08259043347979601,0.27526243216854906,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'White',495917.0,0.7029200450881902,0.4569725116335351,0.0,0.0,1.0,1.0,1.0,0,2
CPTUNLISTED_REVCONV_1.0,495917.0,0.04735469846768713,0.21239661477586752,0.0,0.0,0.0,0.0,1.0,0,2
CPTUNLISTED_GASPLICATION_1.0,495917.0,0.0001572843842820472,0.012540333449139778,0.0,0.0,0.0,0.0,1.0,0,2
GERD_b'Yes',495917.0,0.2699685632878082,0.44394361752418987,0.0,0.0,0.0,1.0,1.0,0,2
MOBILITY_DEVICE_b'Yes',495917.0,0.014655678268742551,0.12017037273295002,0.0,0.0,0.0,0.0,1.0,0,2
MI_ALL_HISTORY_b'Yes',495917.0,0.011235751143840603,0.1054017620444066,0.0,0.0,0.0,0.0,1.0,0,2
PTC_b'Yes',495917.0,0.017301282271025193,0.13039164922081986,0.0,0.0,0.0,0.0,1.0,0,2
PCARD_b'Yes',495917.0,0.010398917560801505,0.1014435844466535,0.0,0.0,0.0,0.0,1.0,0,2
HIP_b'Yes',495917.0,0.4567478025556696,0.4981262367746482,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'0',495917.0,0.4571551287816308,0.49816143711239064,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'1',495917.0,0.2045785887557797,0.4033937504615721,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'2',495917.0,0.15507232056977277,0.36197397720253416,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'3+',495917.0,0.18319396189281675,0.38682584705668216,0.0,0.0,0.0,0.0,1.0,0,2
HYPERLIPIDEMIA_b'Yes',495917.0,0.20939391067456853,0.4068764366114575,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_DVT_b'Yes',495917.0,0.016399921761101152,0.12700786139079956,0.0,0.0,0.0,0.0,1.0,0,2
VENOUS_STASIS_b'Yes',495917.0,0.009443112456318296,0.09671586708224407,0.0,0.0,0.0,0.0,1.0,0,2
