,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
CASEID,9275.0,913066.0987601078,319837.95648146176,203757.0,708529.5,969942.0,1168936.5,1390654.0,0,729482
AGE,9275.0,-0.05469319795279585,0.9324682983469905,-2.247992166503537,-0.7561216479487242,-0.09190695083928203,0.614108545333057,2.879293846551475,0,6427
RYGB,0.0,,,,,,,,531382,1
Sleeve,0.0,,,,,,,,233565,1
Band,0.0,,,,,,,,719476,1
BPD/DS,9275.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,720207,1
SADI-S,0.0,,,,,,,,713298,1
SEX_b'Male',9275.0,0.2613477088948787,0.43939264864210675,0.0,0.0,0.0,1.0,1.0,0,2
race_PUF_b'American Indian or Alaska Native',9275.0,0.008733153638814016,0.09304740256408073,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Asian',9275.0,0.004204851752021563,0.06471184180232563,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Black or African American',9275.0,0.13045822102425875,0.3368250369502786,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Native Hawaiian or Other Pacific Islander',9275.0,0.005714285714285714,0.07538066923332579,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Unknown/Not Reported',9275.0,0.08,0.27130782547803334,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'White',9275.0,0.77088948787062,0.42028315441132597,0.0,1.0,1.0,1.0,1.0,0,2
CPTUNLISTED_REVCONV_1.0,9275.0,0.20549865229110512,0.40408731880342824,0.0,0.0,0.0,0.0,1.0,0,2
CPTUNLISTED_GASPLICATION_1.0,9275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
GERD_b'Yes',9275.0,0.3138544474393531,0.4640830249819289,0.0,0.0,0.0,1.0,1.0,0,2
MOBILITY_DEVICE_b'Yes',9275.0,0.03137466307277628,0.1743375189816247,0.0,0.0,0.0,0.0,1.0,0,2
MI_ALL_HISTORY_b'Yes',9275.0,0.013800539083557951,0.11666855513511357,0.0,0.0,0.0,0.0,1.0,0,2
PTC_b'Yes',9275.0,0.01778975741239892,0.1321936687536382,0.0,0.0,0.0,0.0,1.0,0,2
PCARD_b'Yes',9275.0,0.009811320754716982,0.0985703114451507,0.0,0.0,0.0,0.0,1.0,0,2
HIP_b'Yes',9275.0,0.5017789757412399,0.5000237914223103,0.0,0.0,1.0,1.0,1.0,0,2
HTN_MEDS_b'0',9275.0,0.44194070080862535,0.4966444516805697,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'1',9275.0,0.224366576819407,0.4171869856350461,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'2',9275.0,0.16851752021563343,0.37434539456793736,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'3+',9275.0,0.16517520215633424,0.37135861838966566,0.0,0.0,0.0,0.0,1.0,0,2
HYPERLIPIDEMIA_b'Yes',9275.0,0.23223719676549864,0.4222822602582252,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_DVT_b'Yes',9275.0,0.022318059299191374,0.14772378393034646,0.0,0.0,0.0,0.0,1.0,0,2
VENOUS_STASIS_b'Yes',9275.0,0.016064690026954178,0.12573114237287297,0.0,0.0,0.0,0.0,1.0,0,2
DIALYSIS_b'Yes',9275.0,0.0024797843665768193,0.049738332943769156,0.0,0.0,0.0,0.0,1.0,0,2
RENAL_INSUFFICIENCY_b'Yes',9275.0,0.007223719676549866,0.08468949666607392,0.0,0.0,0.0,0.0,1.0,0,2
THERAPEUTIC_ANTICOAGULATION_b'Yes',9275.0,0.03482479784366577,0.18334572705208607,0.0,0.0,0.0,0.0,1.0,0,2
PREVIOUS_SURGERY_b'Yes',9275.0,0.1932075471698113,0.3948356607427454,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'Insulin',9275.0,0.10512129380053908,0.3067261822684914,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'No',9275.0,0.701455525606469,0.45764424190223724,0.0,0.0,1.0,1.0,1.0,0,2
DIABETES_b'Non-Insulin',9275.0,0.1934231805929919,0.3950031343820666,0.0,0.0,0.0,0.0,1.0,0,2
SMOKER_b'Yes',9275.0,0.09628032345013478,0.29499119470872337,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Independent',9275.0,0.9824258760107817,0.13140447420479123,0.0,1.0,1.0,1.0,1.0,0,2
FUNSTATPRESURG_b'Partially Dependent',9275.0,0.014986522911051212,0.12150522127107169,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Totally Dependent',9275.0,0.0025876010781671157,0.05080535103278645,0.0,0.0,0.0,0.0,1.0,0,2
COPD_b'Yes',9275.0,0.022318059299191374,0.14772378393034494,0.0,0.0,0.0,0.0,1.0,0,2
OXYGEN_DEPENDENT_b'Yes',9275.0,0.015849056603773583,0.12489814210101831,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_PE_b'Yes',9275.0,0.018867924528301886,0.13606587398202194,0.0,0.0,0.0,0.0,1.0,0,2
SLEEP_APNEA_b'Yes',9275.0,0.4314824797843666,0.49530980233733735,0.0,0.0,0.0,1.0,1.0,0,2
CHRONIC_STEROIDS_b'Yes',9275.0,0.017897574123989218,0.13258637294311215,0.0,0.0,0.0,0.0,1.0,0,2
IVC_FILTER_b'Yes',9275.0,0.014878706199460917,0.12107398885327841,0.0,0.0,0.0,0.0,1.0,0,2
