,count,mean,std,min,25%,50%,75%,max,num_nan,num_distinct
CASEID,10006.0,699559.0573655807,289747.8497512816,200122.0,481284.0,685669.5,895569.5,1390429.0,0,729482
AGE,10006.0,0.008629443528090978,1.017077515762744,-2.4712084334994096,-0.7072147130451337,-0.014157464582292641,0.7240446468684777,2.9812877962649447,0,6427
RYGB,0.0,,,,,,,,531382,1
Sleeve,0.0,,,,,,,,233565,1
Band,10006.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,719476,1
BPD/DS,0.0,,,,,,,,720207,1
SADI-S,0.0,,,,,,,,713298,1
SEX_b'Male',10006.0,0.21816909854087546,0.4130234758373255,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'American Indian or Alaska Native',10006.0,0.0023985608634819106,0.048918778914255244,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Asian',10006.0,0.004797121726963821,0.06909838292210717,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Black or African American',10006.0,0.20857485508694784,0.4063100833125438,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Native Hawaiian or Other Pacific Islander',10006.0,0.0009994003597841295,0.031599071963679136,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'Unknown/Not Reported',10006.0,0.05276833899660204,0.2235818357612017,0.0,0.0,0.0,0.0,1.0,0,2
race_PUF_b'White',10006.0,0.7304617229662203,0.4437421246032417,0.0,0.0,1.0,1.0,1.0,0,2
CPTUNLISTED_REVCONV_1.0,10006.0,0.08534879072556466,0.27941398888287583,0.0,0.0,0.0,0.0,1.0,0,2
CPTUNLISTED_GASPLICATION_1.0,10006.0,0.012092744353387967,0.10930555311308306,0.0,0.0,0.0,0.0,1.0,0,2
GERD_b'Yes',10006.0,0.23675794523286028,0.4251137282343952,0.0,0.0,0.0,0.0,1.0,0,2
MOBILITY_DEVICE_b'Yes',10006.0,0.015490705576654008,0.12350007258945184,0.0,0.0,0.0,0.0,1.0,0,2
MI_ALL_HISTORY_b'Yes',10006.0,0.012292624425344793,0.11019405317387869,0.0,0.0,0.0,0.0,1.0,0,2
PTC_b'Yes',10006.0,0.01888866679992005,0.13613866948378073,0.0,0.0,0.0,0.0,1.0,0,2
PCARD_b'Yes',10006.0,0.011892864281431142,0.1084094028013355,0.0,0.0,0.0,0.0,1.0,0,2
HIP_b'Yes',10006.0,0.4607235658604837,0.4984798842890701,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'0',10006.0,0.3471916849890066,0.4761011158341996,0.0,0.0,0.0,1.0,1.0,0,2
HTN_MEDS_b'1',10006.0,0.20147911253248052,0.40112511792874617,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'2',10006.0,0.16090345792524485,0.3674602424196905,0.0,0.0,0.0,0.0,1.0,0,2
HTN_MEDS_b'3+',10006.0,0.29042574455326803,0.4539815293801005,0.0,0.0,0.0,1.0,1.0,0,2
HYPERLIPIDEMIA_b'Yes',10006.0,0.20957425544673197,0.40702511459475976,0.0,0.0,0.0,0.0,1.0,0,2
HISTORY_DVT_b'Yes',10006.0,0.011393164101539077,0.10613428139108418,0.0,0.0,0.0,0.0,1.0,0,2
VENOUS_STASIS_b'Yes',10006.0,0.0040975414751149315,0.06388395338582374,0.0,0.0,0.0,0.0,1.0,0,2
DIALYSIS_b'Yes',10006.0,0.0015990405756546072,0.03995801813744662,0.0,0.0,0.0,0.0,1.0,0,2
RENAL_INSUFFICIENCY_b'Yes',10006.0,0.0058964621227263645,0.07656552575153357,0.0,0.0,0.0,0.0,1.0,0,2
THERAPEUTIC_ANTICOAGULATION_b'Yes',10006.0,0.022886268239056567,0.1495483938271295,0.0,0.0,0.0,0.0,1.0,0,2
PREVIOUS_SURGERY_b'Yes',10006.0,0.08854687187687388,0.2841027806212748,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'Insulin',10006.0,0.05516689986008395,0.2283171539029253,0.0,0.0,0.0,0.0,1.0,0,2
DIABETES_b'No',10006.0,0.8003198081151309,0.39977992154253283,0.0,1.0,1.0,1.0,1.0,0,2
DIABETES_b'Non-Insulin',10006.0,0.14451329202478513,0.3516270143128971,0.0,0.0,0.0,0.0,1.0,0,2
SMOKER_b'Yes',10006.0,0.10163901659004597,0.30218810894241677,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Independent',10006.0,0.992504497301619,0.08625580385058663,0.0,1.0,1.0,1.0,1.0,0,2
FUNSTATPRESURG_b'Partially Dependent',10006.0,0.004797121726963821,0.06909838292210764,0.0,0.0,0.0,0.0,1.0,0,2
FUNSTATPRESURG_b'Totally Dependent',10006.0,0.0026983809714171496,0.05187840289593624,0.0,0.0,0.0,0.0,1.0,0,2
COPD_b'Yes',10006.0,0.016789926044373377,0.12848997783971727,0.0,0.0,0.0,0.0,1.0,0,2
OXYGEN_DEPENDENT_b'Yes',10006.0,0.004197481511093344,0.06465508825634127,0.0,0.0,0.0,0.0,1.0,0,2
